train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,mHSC-GM,strict,minus,mlp,1,2795,415,476,0.628988,0.589824
hESC,mHSC-GM,strict,minus,mlp,2,2795,415,476,0.614113,0.548982
hESC,mHSC-GM,strict,minus,mlp,3,2795,415,476,0.692116,0.629090
hESC,mHSC-GM,strict,minus,mlp,4,2795,415,476,0.703664,0.661737
hESC,mHSC-GM,strict,baseline,lr,0,2795,415,476,0.631906,0.593252
hESC,mHSC-GM,strict,baseline,lr,1,2795,415,476,0.680889,0.633499
hESC,mHSC-GM,strict,baseline,lr,2,2795,415,476,0.679732,0.628479
hESC,mHSC-GM,strict,baseline,lr,3,2795,415,476,0.671067,0.619106
hESC,mHSC-GM,strict,baseline,lr,4,2795,415,476,0.685088,0.618448
hESC,mHSC-GM,strict,baseline,mlp,0,2795,415,476,0.687668,0.646563
hESC,mHSC-GM,strict,baseline,mlp,1,2795,415,476,0.652172,0.608829
hESC,mHSC-GM,strict,baseline,mlp,2,2795,415,476,0.659040,0.639486
hESC,mHSC-GM,strict,baseline,mlp,3,2795,415,476,0.687437,0.639582
hESC,mHSC-GM,strict,baseline,mlp,4,2795,415,476,0.691458,0.646741
hESC,mHSC-GM,strict,scGPT_human,lr,0,2795,415,476,0.676761,0.624130
hESC,mHSC-GM,strict,scGPT_human,lr,1,2795,415,476,0.704642,0.661089
hESC,mHSC-GM,strict,scGPT_human,lr,2,2795,415,476,0.699091,0.653839
hESC,mHSC-GM,strict,scGPT_human,lr,3,2795,415,476,0.696030,0.631712
hESC,mHSC-GM,strict,scGPT_human,lr,4,2795,415,476,0.672509,0.624326
hESC,mHSC-GM,strict,scGPT_human,mlp,0,2795,415,476,0.678736,0.622443
hESC,mHSC-GM,strict,scGPT_human,mlp,1,2795,415,476,0.676316,0.628897
hESC,mHSC-GM,strict,scGPT_human,mlp,2,2795,415,476,0.663114,0.636820
hESC,mHSC-GM,strict,scGPT_human,mlp,3,2795,415,476,0.624664,0.573100
