train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
mDC,hHep,native,baseline,mlp,0.5889658,0.020632649286022396,0.607707,0.025268193564241967,5
mDC,hHep,native,minus,lr,0.5780984,0.027150388252104255,0.5770964,0.02718494280737039,5
mDC,hHep,native,minus,mlp,0.6004108,0.013613527410630974,0.597786,0.01540255580090524,5
mDC,hHep,native,scGPT_human,lr,0.5421622,0.018323979954147498,0.5409982,0.016728112259307693,5
mDC,hHep,native,scGPT_human,mlp,0.5871698,0.012169106448708566,0.5878184,0.009200973505015657,5
mDC,hHep,strict,baseline,lr,0.6382728,0.06064254424214077,0.44357939999999996,0.07947810973242884,5
mDC,hHep,strict,baseline,mlp,0.7135914,0.046533661938858856,0.519665,0.08220219978808355,5
mDC,hHep,strict,minus,lr,0.6542708,0.12698017978629578,0.4740184,0.12143926695859128,5
mDC,hHep,strict,minus,mlp,0.6636306,0.04038300487878535,0.4313212,0.034557867870573265,5
mDC,hHep,strict,scGPT_human,lr,0.6178858,0.08067297740234955,0.4009952,0.0641102806370398,5
mDC,hHep,strict,scGPT_human,mlp,0.62476,0.06670269936666734,0.4129278,0.05550204488629226,5
mDC,mHSC-E,coverage_matched,baseline,lr,0.2972286,0.025062691328746004,0.3736426,0.018379364337212527,5
mDC,mHSC-E,coverage_matched,baseline,mlp,0.4373512,0.05309191594734553,0.45742,0.04395116529513182,5
mDC,mHSC-E,coverage_matched,minus,lr,0.5321098,0.042265780704489525,0.498276,0.03257989254125926,5
mDC,mHSC-E,coverage_matched,minus,mlp,0.562782,0.03329958930677673,0.5490308,0.04816399627688716,5
mDC,mHSC-E,coverage_matched,scGPT_human,lr,0.456108,0.016369039275412594,0.3479536,0.008294248431292619,5
mDC,mHSC-E,coverage_matched,scGPT_human,mlp,0.4365174,0.05119287274455305,0.3332358,0.04012829657685459,5
mDC,mHSC-E,native,baseline,lr,0.43959339999999997,0.02098884791121227,0.4633684,0.01648121454990499,5
mDC,mHSC-E,native,baseline,mlp,0.464318,0.043768397082826795,0.4876716,0.02716370855829521,5
mDC,mHSC-E,native,minus,lr,0.4484566,0.02136782956315405,0.4703434,0.01467186208495704,5
mDC,mHSC-E,native,minus,mlp,0.4623238,0.020575003060996123,0.5065286,0.016446137584247553,5
mDC,mHSC-E,native,scGPT_human,lr,0.489579,0.023565143114354294,0.4988656,0.017288579416481844,5
mDC,mHSC-E,native,scGPT_human,mlp,0.47923319999999997,0.023585854051952425,0.4982394,0.01636549041856064,5
mDC,mHSC-E,strict,baseline,lr,0.5972956,0.04133776299027319,0.448646,0.061054392317015184,5
mDC,mHSC-E,strict,baseline,mlp,0.6370398,0.06963481925129122,0.4458806,0.07358404419057166,5
mDC,mHSC-E,strict,minus,lr,0.6977318,0.01828136578486413,0.5282694,0.03469824549224357,5
mDC,mHSC-E,strict,minus,mlp,0.6807915999999999,0.038016399485485214,0.533152,0.06500168847653114,5
mDC,mHSC-E,strict,scGPT_human,lr,0.6407032,0.021738371681430033,0.4811142,0.044698324229885844,5
mDC,mHSC-E,strict,scGPT_human,mlp,0.6201736,0.040491350595404964,0.4181148,0.04988665043636423,5
mDC,mHSC-GM,coverage_matched,baseline,lr,0.470706,0.021039794922954942,0.5851068,0.019172431284529362,5
mDC,mHSC-GM,coverage_matched,baseline,mlp,0.5143302000000001,0.017053561028711858,0.630109,0.028529658476750135,5
mDC,mHSC-GM,coverage_matched,minus,lr,0.5030874,0.02220964610794148,0.477923,0.019388971700428064,5
mDC,mHSC-GM,coverage_matched,minus,mlp,0.49263,0.06817458326972009,0.4733292,0.05945682061933684,5
mDC,mHSC-GM,coverage_matched,scGPT_human,lr,0.5630104,0.032055301867865794,0.66871,0.024997773540857617,5
mDC,mHSC-GM,coverage_matched,scGPT_human,mlp,0.513628,0.033159295668032523,0.6084552,0.03892626119421182,5
mDC,mHSC-GM,native,baseline,lr,0.46759880000000004,0.026437744725297578,0.4972278,0.026505227102592437,5
mDC,mHSC-GM,native,baseline,mlp,0.4910712,0.02832102802795125,0.511942,0.02347272196401603,5
mDC,mHSC-GM,native,minus,lr,0.43175199999999997,0.01423031866122471,0.4611972,0.01206142076871544,5
mDC,mHSC-GM,native,minus,mlp,0.4723174,0.015785985260350396,0.4958376,0.01235328967684318,5
mDC,mHSC-GM,native,scGPT_human,lr,0.4319238,0.01364208625394224,0.4693396,0.008090537153984265,5
mDC,mHSC-GM,native,scGPT_human,mlp,0.4827516,0.02927869535754626,0.5137958,0.020382480167045414,5
mDC,mHSC-GM,strict,baseline,lr,0.5272894,0.021250894989152804,0.3868136,0.013857208241200673,5
mDC,mHSC-GM,strict,baseline,mlp,0.505711,0.012174963671403706,0.3746736,0.011791838374061945,5
mDC,mHSC-GM,strict,minus,lr,0.4494704,0.03600061969799967,0.3301244,0.03479330653214781,5
mDC,mHSC-GM,strict,minus,mlp,0.504292,0.016672399275449237,0.3993586,0.016662509458061824,5
mDC,mHSC-GM,strict,scGPT_human,lr,0.49619219999999997,0.02399888278566316,0.4056262,0.018629860164799956,5
