dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mESC500->mHSC-GM500,v4_plain_best,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.4051577287066246,0.5514658978299602
mESC500->mHSC-GM500,v4_plain_best,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.4478943217665615,0.5803431886087256
mESC500->mHSC-GM500,v4_type_pe_best,transfer,mESC500,mHSC-GM500,lr,937/1120->449/500,0.43121451104100944,0.564175367268503
mESC500->mHSC-GM500,v4_type_pe_best,transfer,mESC500,mHSC-GM500,mlp,937/1120->449/500,0.41014195583596214,0.5727685185354829
mESC500->mHSC-L500,minus,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.4348709976381955,0.5962309548087474
mESC500->mHSC-L500,minus,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.43253410664992475,0.5845085298101762
mESC500->mHSC-L500,baseline,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.5131394062602769,0.6452854558360632
mESC500->mHSC-L500,baseline,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.4560126361525506,0.6034232557864713
mESC500->mHSC-L500,scGPT_human,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.4190060490099355,0.5840889875659703
mESC500->mHSC-L500,scGPT_human,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.43790048531595366,0.602449524857418
mESC500->mHSC-L500,v4_bias_rec_best,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.45726329636162516,0.6103233536192912
mESC500->mHSC-L500,v4_bias_rec_best,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.44954009586734034,0.6181129325430682
mESC500->mHSC-L500,v4_plain_best,transfer,mESC500,mHSC-L500,lr,937/1120->442/500,0.42785534196338704,0.603421757916417
mESC500->mHSC-L500,v4_plain_best,transfer,mESC500,mHSC-L500,mlp,937/1120->442/500,0.4577416365212712,0.5936240303275098
